exchange_name,latency,ts
binance,188.703,1652983449.505174
okx,8.623,1652983449.8725262
huobi,202.401,1652983450.086043
bitmex,32.385,1652983450.486939
kucoin,20.016,1652983450.529663
kraken,9.094,1652983450.734509
binance,170.942,1652983451.0247848
okx,35.808,1652983451.201003
huobi,169.613,1652983451.2455812
bitmex,18.376,1652983451.424243
kucoin,8.155,1652983451.4510279
kraken,7.715,1652983451.466652
binance,170.438,1652983451.585763
okx,8.378,1652983451.765422
huobi,169.48,1652983451.784231
bitmex,8.929,1652983451.962186
kucoin,9.068,1652983451.978626
kraken,8.276,1652983451.994952
binance,201.83,1652983452.114951
okx,33.97,1652983452.32981
huobi,171.773,1652983452.3744829
bitmex,9.742,1652983452.5577579
kucoin,9.038,1652983452.577193
kraken,9.696,1652983452.594263
binance,168.445,1652983452.7132978
okx,9.728,1652983452.891217
huobi,169.924,1652983452.909261
bitmex,10.177,1652983453.086313
kucoin,10.25,1652983453.104086
kraken,8.936,1652983453.120302
binance,169.063,1652983453.2401469
okx,8.993,1652983453.4162838
huobi,168.418,1652983453.433168
bitmex,18.63,1652983453.608732
kucoin,9.83,1652983453.806384
kraken,8.894,1652983453.821728
binance,168.774,1652983453.941268
okx,8.139,1652983454.116566
huobi,169.045,1652983454.1325922
bitmex,8.355,1652983454.309508
kucoin,8.731,1652983454.338636
kraken,8.092,1652983454.3603368
binance,197.539,1652983454.479727
okx,7.416,1652983454.685318
